Area,lane,band
4798.832,1,1
10918.368,1,2
9118.974,2,1
14685.196,2,2
6085.075,3,1
11459.56,3,2
4142.761,4,1
9914.711,4,2
3454.468,5,1
7810.296,5,2
6060.539,6,1
10147.61,6,2
